"filename", "language", "Docker", "Ignore", "YAML", "HTML", "JavaScript", "vue", "PostCSS", "Go", "JSON", "Go Checksum File", "Go Module File", "Properties", "CloudFormation", "comment", "blank", "total"
"c:\Proyectos\paselista\.github\workflows\go.yml", "YAML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Proyectos\paselista\backend\Dockerfile", "Docker", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Proyectos\paselista\backend\database\database.go", "Go", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 8, 18, 155
"c:\Proyectos\paselista\backend\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Proyectos\paselista\backend\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 110
"c:\Proyectos\paselista\backend\handlers\admin.go", "Go", 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 32, 259
"c:\Proyectos\paselista\backend\handlers\auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 3, 36, 205
"c:\Proyectos\paselista\backend\handlers\check.go", "Go", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 0, 0, 17, 62, 425
"c:\Proyectos\paselista\backend\handlers\profile.go", "Go", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 5, 30, 153
"c:\Proyectos\paselista\backend\handlers\qr.go", "Go", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Proyectos\paselista\backend\main.go", "Go", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 12, 62
"c:\Proyectos\paselista\backend\middleware\admin.go", "Go", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 2, 13, 73
"c:\Proyectos\paselista\backend\middleware\auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 2, 11, 64
"c:\Proyectos\paselista\backend\models\models.go", "Go", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Proyectos\paselista\backend\routes\routes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 8, 54
"c:\Proyectos\paselista\docker-compose.yml", "YAML", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Proyectos\paselista\frontend\.dockerignore", "Ignore", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Proyectos\paselista\frontend\Dockerfile", "Docker", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 16
"c:\Proyectos\paselista\frontend\index.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Proyectos\paselista\frontend\nginx.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Proyectos\paselista\frontend\nginx.conf.template", "CloudFormation", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 7, 47
